City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
222,Westport,US,41.1415,-73.3579,59.86,80,90,1.99,overcast clouds
223,Riyadh,SA,24.6877,46.7219,105.85,9,0,8.05,clear sky
224,Nantucket,US,41.2835,-70.0995,59.11,95,90,11.5,fog
225,Vagay,RU,57.9375,69.0217,45.39,83,88,13.47,overcast clouds
226,Jalu,LY,29.0331,21.5482,95.54,15,9,14.74,clear sky
227,Ritchie,ZA,-29.038,24.6028,56.05,32,59,13.62,broken clouds
228,Dieppe,FR,49.75,1.1667,73.58,61,0,11.61,clear sky
229,Atikokan,CA,48.7555,-91.6216,63.7,51,18,4.74,few clouds
230,Srandakan,ID,-7.9386,110.2506,59.74,89,89,4.12,light rain
231,Frejus,FR,43.4329,6.7352,78.75,47,6,8.99,clear sky
232,Maniitsoq,GL,65.4167,-52.9,34.47,99,100,7.9,light rain
233,Ust-Kuyga,RU,70.0167,135.6,52.92,69,66,2.84,broken clouds
234,Codrington,AU,-38.2667,141.9667,48.34,43,100,11.68,overcast clouds
235,Tateyama,JP,34.9833,139.8667,67.1,80,31,3.44,scattered clouds
236,Kushima,JP,31.4583,131.2333,66.6,83,100,3.94,overcast clouds
237,Torata,PE,-17.0769,-70.8433,65.59,34,99,6.33,overcast clouds
238,Touros,BR,-5.1989,-35.4608,85.1,63,80,14.16,broken clouds
239,Seydi,TM,39.4816,62.9137,96.39,10,64,6.87,broken clouds
240,Harlingen,US,26.1906,-97.6961,86.32,69,75,13.8,broken clouds
241,Monsenhor Gil,BR,-5.5642,-42.6078,90.59,31,10,3.29,clear sky
242,Muros,ES,42.7762,-9.0603,82.9,65,33,4.14,scattered clouds
243,Kabalo,CD,-6.05,26.9167,83.08,39,38,5.35,scattered clouds
244,Ouricuri,BR,-7.8825,-40.0817,79.74,59,91,8.03,overcast clouds
245,Greensburg,US,40.3015,-79.5389,67.32,56,20,3.0,few clouds
246,Jacareacanga,BR,-6.2222,-57.7528,93.79,35,0,4.27,clear sky
247,Cidreira,BR,-30.1811,-50.2056,60.04,40,0,8.72,clear sky
248,Kodiak,US,57.79,-152.4072,45.91,87,90,17.27,light rain
249,Northfield,US,44.4583,-93.1616,70.18,72,1,5.99,clear sky
250,Richards Bay,ZA,-28.783,32.0377,66.25,68,62,12.57,broken clouds
251,Los Zacatones,MX,22.95,-102.05,69.35,37,77,12.35,broken clouds
252,Coahuayana,MX,18.7333,-103.6833,92.68,34,80,3.24,broken clouds
253,Tlapehuala,MX,18.2167,-100.5167,90.5,51,71,1.68,broken clouds
254,Matamoros,MX,25.5333,-103.25,83.1,47,75,4.12,broken clouds
255,Obo,CF,5.3998,26.4869,82.24,59,64,4.83,broken clouds
256,Kulaman,PH,6.4594,124.0892,77.27,87,100,2.51,moderate rain
257,Pierre,US,44.3683,-100.351,68.92,61,1,3.0,clear sky
258,Storslett,NO,69.7678,21.0247,48.2,76,75,9.22,broken clouds
259,Lompoc,US,34.6391,-120.4579,60.1,100,90,4.79,overcast clouds
260,Hofn,IS,64.2539,-15.2082,46.35,86,64,10.51,broken clouds
261,Lebedinyy,RU,58.5167,125.5167,47.95,77,60,6.42,broken clouds
262,Payo,ID,-3.7508,103.6372,72.88,98,100,2.44,heavy intensity rain
263,Hovd,MN,48.0056,91.6419,52.25,36,0,5.01,clear sky
264,Arrecife,ES,28.963,-13.5477,75.18,53,40,16.11,scattered clouds
265,Henties Bay,NA,-22.116,14.2845,62.85,72,1,13.91,clear sky
266,Axim,GH,4.8699,-2.2405,81.0,81,93,10.87,overcast clouds
267,Todos Santos,MX,23.45,-110.2167,89.31,49,21,6.24,few clouds
268,Ponta Do Sol,PT,32.6667,-17.1,70.43,73,58,2.35,broken clouds
269,Poum,NC,-20.2333,164.0167,71.56,57,29,16.44,scattered clouds
270,Beian,NO,63.6559,9.5683,61.92,72,0,17.27,clear sky
271,Sumbe,AO,-11.2061,13.8437,80.44,70,2,5.17,clear sky
272,Kavieng,PG,-2.5744,150.7967,78.3,87,100,4.41,light rain
273,Fortuna,US,40.5982,-124.1573,62.65,73,68,5.5,broken clouds
274,Buluang,PH,13.3068,123.3425,78.12,90,69,3.11,broken clouds
275,Liuzhou,CN,24.3126,109.3892,79.56,86,78,2.21,light rain
276,Esperance,AU,-33.8667,121.9,57.04,83,100,26.49,overcast clouds
277,Pokhara,NP,28.2333,83.9833,71.65,77,31,6.4,moderate rain
278,Uray,RU,60.1247,64.7758,48.94,59,93,5.44,overcast clouds
279,Mantua,IT,45.1667,10.7833,76.08,44,65,1.99,broken clouds
280,Salalah,OM,17.0151,54.0924,84.29,84,75,8.05,light intensity drizzle
281,Samarai,PG,-10.6167,150.6667,78.71,77,98,20.45,overcast clouds
282,Kondinskoye,RU,59.6481,67.41,42.33,88,99,5.08,overcast clouds
283,Tarakan,ID,3.3,117.6333,82.47,78,89,7.61,overcast clouds
284,Camacha,PT,33.0833,-16.3333,66.96,94,75,11.5,light intensity drizzle
285,Rocha,UY,-34.4833,-54.3333,61.52,52,11,19.66,few clouds
286,Galle,LK,6.0367,80.217,81.28,85,77,15.99,broken clouds
287,Port Lincoln,AU,-34.7333,135.8667,59.5,42,100,9.95,overcast clouds
288,Karpathos,GR,35.507,27.2132,73.36,83,20,10.13,few clouds
289,East London,ZA,-33.0153,27.9116,66.63,53,100,12.06,overcast clouds
290,Bairiki,KI,1.3292,172.9752,82.4,78,20,15.41,light rain
