City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
520,Colombo,LK,84.15,overcast clouds,6.9319,79.8478,Galle Face Hotel
524,Pyu,MM,79.45,broken clouds,18.4833,96.4333,Mr Bo Bo
527,Hambantota,LK,84.54,few clouds,6.1241,81.1185,Bungalow 63
528,Porto Murtinho,BR,79.99,scattered clouds,-21.6989,-57.8825,Hotel Pantanal
529,Winslow,US,77.18,clear sky,35.0242,-110.6974,Best Western Plus Winslow Inn
530,Limoeiro Do Ajuru,BR,86.74,clear sky,-1.8953,-49.3806,Hotel Dalva
534,Mashhad,IR,86.14,clear sky,36.297,59.6062,Khanye Sabz Hotel
537,Namatanai,PG,79.05,moderate rain,-3.6667,152.4333,Namatanai Hotel
539,Banjar,ID,78.66,scattered clouds,-8.19,114.9675,The Hamsa Resort
541,Haimen,CN,78.69,moderate rain,23.1935,116.6142,Jinghao Business Hotel
542,Isla Mujeres,MX,87.85,few clouds,21.2311,-86.73100000000001,Hotel La Joya Isla Mujeres
547,Ontario,US,89.69,haze,34.0633,-117.6509,American Inn
549,Saint-Francois,FR,77.18,clear sky,46.4154,3.9054,Manoir Du Bonheur
551,Umm Lajj,SA,88.83,clear sky,25.0213,37.2685,Moon light Furnished Units
554,Nabire,ID,76.23,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
555,Panalingaan,PH,80.74,broken clouds,8.7842,117.4231,I Love Panalingaan View Deck
556,Gat,IL,88.79,clear sky,31.61,34.7642,OlusHome
569,Itoman,JP,77.02,scattered clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
572,Daru,PG,77.47,broken clouds,-9.0763,143.2092,Daru Lodge
573,Road Town,VG,86.09,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
575,Harper,LR,79.59,light rain,4.375,-7.7169,Screensaver
577,Praya,CV,79.34,broken clouds,14.9215,-23.5087,LT Aparthotel
579,Matara,LK,80.51,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
586,Labrea,BR,93.25,clear sky,-7.2586,-64.7981,Hotel Novo Horizonte
588,Naron,ES,76.55,clear sky,43.5167,-8.1528,Marcial
589,Aras,ES,83.71,few clouds,42.5617,-2.356,Jardines de Viana Spa
591,Pangai,TO,76.89,moderate rain,-19.8,-174.35,Ha'apai Beach Resort
592,Arifwala,PK,92.17,broken clouds,30.294,73.0735,Rao Noman adv. Office
594,Kokopo,PG,77.36,light rain,-4.352,152.2633,Kokopo Beach Bungalow Resort
599,Parrita,CR,91.17,scattered clouds,9.5201,-84.3225,Beso del Viento
604,Hirara,JP,79.83,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
607,Mindelo,CV,78.35,few clouds,16.8901,-24.9804,Hotel Gaudi
